0,1,2,3,4,5,6,7,8,9
7.15723,-8.011623,-1.9592648,-7.915124,6.846895,4.0360684,0.9878553,7.4057126,-1.9429462,0.007987089
5.4397607,-4.6330557,0.7732397,-4.5248623,4.346585,0.89659345,2.3589272,6.017013,-2.3261986,-1.4929152
7.377092,-5.781069,2.871369,-5.042242,5.3891864,-0.39185342,5.105025,9.091508,-3.4463613,-3.5613515
6.8343215,-4.9818225,3.281676,-4.305589,4.8410897,-0.8724368,5.046806,8.518688,-3.3841476,-3.5759974
6.736704,-5.7060356,2.76111,-4.692994,5.1857696,-0.23315017,4.931649,8.704008,-3.0202796,-3.3012087
6.1385126,-3.8828847,3.8757513,-3.4675097,4.2133665,-1.7607336,4.8583016,7.7953324,-3.3134894,-3.586196
5.3278913,-4.14884,1.7504712,-4.0280266,4.2225776,-0.0713662,2.791462,6.158526,-2.4969518,-1.8614827
6.617491,-4.748338,3.5254796,-4.011299,4.6514683,-1.1757079,5.163401,8.406047,-3.3563154,-3.6684878
7.3546886,-5.2749715,3.6088471,-4.572998,5.198882,-1.0340357,5.452937,9.179275,-3.6435437,-3.8434184
5.603204,-3.7465303,2.6818705,-3.5486305,3.98019,-0.88509846,3.7400122,6.68027,-2.8512194,-2.7160108
7.0410385,-4.542027,4.0428658,-4.1003118,4.8609414,-1.6068878,5.365128,8.77729,-3.7256064,-3.858304
7.176358,-4.7481494,4.016816,-4.230858,4.9993873,-1.5354159,5.453542,8.9521675,-3.7504294,-3.8704357
6.69914,-4.3625712,3.902688,-3.8640544,4.5523176,-1.5565803,5.1972213,8.383844,-3.5809453,-3.7916028
7.236827,-5.5864086,3.4120271,-4.6703925,5.216326,-0.8579216,5.503196,9.219608,-3.5008533,-3.8269546
7.2486715,-5.557227,3.4977531,-4.5889835,5.2064466,-0.8826084,5.6117716,9.28344,-3.516621,-3.8975456
7.1185184,-5.470452,3.2175465,-4.6309443,5.159731,-0.7330836,5.279495,9.02517,-3.3982453,-3.6843479
6.093865,-5.0011396,2.9496586,-4.0142255,4.6140814,-0.6865702,4.682181,7.934181,-2.8236635,-3.118871
